sample,genotype
CD0164a,wild.type
CD0164c,wild.type
CD0164d,wild.type
CD0169a,wild.type
CD0169c,wild.type
CD0169d,wild.type
CD0170a,wild.type
CD0170c,wild.type
CD0170d,wild.type
CD0171a,wild.type
CD0171c,wild.type
CD0172a,wild.type
CD0172c,wild.type
CD0173a,wild.type
CD0173c,wild.type
CD0173d,wild.type
CD0174a,wild.type
CD0174c,wild.type
CD0174d,wild.type
CD0175a,wild.type
CD0175c,wild.type
CD0175d,wild.type
CD0176a,wild.type
CD0176d,wild.type
CD0177a,wild.type
CD0177c,wild.type
CD0178a,wild.type
CD0178c,wild.type
CD0178d,wild.type
CD0179a,wild.type
CD0179c,wild.type
CD0179d,wild.type
CD0184c,wild.type
CD0184d,wild.type
CD0185a,wild.type
CD0185d,wild.type
CD0186c,wild.type
CD0186d,wild.type
CD0187a,wild.type
CD0187c,wild.type
CD0188d,wild.type
CD0189c,wild.type
CD0189d,wild.type
CD0190a,wild.type
CD0191d,wild.type
CD0192c,wild.type
CD0192d,wild.type
CD0193c,wild.type
CD0194a,wild.type
CD0194c,wild.type
CD0194d,wild.type
CD0195a,wild.type
CD0195c,wild.type
CD0195d,wild.type
CD0196a,wild.type
CD0196c,wild.type
CD0196d,wild.type
CD0197a,wild.type
CD0197c,wild.type
CD0197d,wild.type
CD0198c,wild.type
CD0198d,wild.type
CD0199a,wild.type
CD0199c,wild.type
CD0199d,wild.type
CD0200a,wild.type
CD0200c,wild.type
CD0200d,wild.type
CD0201a,wild.type
CD0201c,wild.type
CD0201d,wild.type
CD0202a,wild.type
CD0202c,wild.type
CD0202d,wild.type
CD0203a,wild.type
CD0203c,wild.type
CD0203d,wild.type
CD0204a,wild.type
CD0204c,wild.type
CD0204d,wild.type
CD0205a,wild.type
CD0205c,wild.type
CD0205d,wild.type
CD0206a,wild.type
CD0206c,wild.type
CD0206d,wild.type
CD0207a,wild.type
CD0207c,wild.type
CD0207d,wild.type
CD0208a,wild.type
CD0208c,wild.type
CD0208d,wild.type
CD0209a,wild.type
CD0209d,wild.type
CD0210c,wild.type
CD0210d,wild.type
CD0211a,wild.type
CD0211c,wild.type
CD0211d,wild.type
CD0212a,wild.type
CD0212c,wild.type
CD0212d,wild.type
CD0213c,wild.type
CD0214a,wild.type
CD0214c,wild.type
CD0214d,wild.type
CD0215a,wild.type
CD0215c,wild.type
CD0215d,wild.type
CD0216a,wild.type
CD0216c,wild.type
CD0216d,wild.type
CD0217a,wild.type
CD0217c,wild.type
CD0217d,wild.type
CD0218a,wild.type
CD0218c,wild.type
CD0218d,wild.type
CD0219a,wild.type
CD0219c,wild.type
CD0219d,wild.type
CD0220a,wild.type
CD0220c,wild.type
CD0220d,wild.type
CD0221c,wild.type
CD0221d,wild.type
CD0222a,wild.type
CD0222c,wild.type
CD0222d,wild.type
CD0223a,wild.type
CD0223d,wild.type
CD0224a,wild.type
CD0224c,wild.type
CD0224d,wild.type
CD0229d,wild.type
CD0231a,wild.type
CD0231c,wild.type
CD0232c,wild.type
CD0233a,wild.type
CD0233c,wild.type
CD0233d,wild.type
CD0234a,wild.type
CD0234c,wild.type
CD0234d,wild.type
CD0238a,wild.type
CD0238c,wild.type
CD0238d,wild.type
CD0239a,wild.type
CD0239c,wild.type
CD0239d,wild.type
CD0243a,wild.type
CD0243c,wild.type
