sample,genotype
CD0586d,msh.2
CD0587a,msh.2
CD0587c,msh.2
CD0587d,msh.2
CD0588a,msh.2
CD0588c,msh.2
CD0588d,msh.2
CD0589a,msh.2
CD0590a,msh.2
CD0590c,msh.2
CD0590d,msh.2
CD0591a,msh.2
CD0591c,msh.2
CD0591d,msh.2
CD0593c,msh.2
CD0593d,msh.2
CD0594a,msh.2
CD0594c,msh.2
CD0594d,msh.2
CD0596a,msh.2
CD0596d,msh.2
CD0597a,msh.2
CD0597c,msh.2
CD0597d,msh.2
CD0598d,msh.2
CD0599a,msh.2
CD0599c,msh.2
CD0599d,msh.2
CD0600a,msh.2
CD0600c,msh.2
CD0600d,msh.2
CD0601a,msh.2
CD0601c,msh.2
CD0601d,msh.2
CD0602a,msh.2
CD0602c,msh.2
CD0602d,msh.2
CD0603a,msh.2
CD0603c,msh.2
CD0603d,msh.2
CD0604a,msh.2
CD0605a,msh.2
CD0605c,msh.2
CD0605d,msh.2
CD0606d,msh.2
CD0607c,msh.2
CD0607d,msh.2
CD0608a,msh.2
CD0608c,msh.2
CD0608d,msh.2
CD0610a,msh.2
CD0610c,msh.2
CD0610d,msh.2
CD0611a,msh.2
CD0611c,msh.2
CD0611d,msh.2
CD0612a,msh.2
CD0612c,msh.2
CD0612d,msh.2
CD0613a,msh.2
CD0613c,msh.2
CD0613d,msh.2
CD0614a,msh.2
CD0614c,msh.2
CD0614d,msh.2
CD0615a,msh.2
CD0616a,msh.2
CD0616c,msh.2
CD0616d,msh.2
CD0617a,msh.2
CD0617c,msh.2
CD0617d,msh.2
CD0618a,msh.2
CD0618c,msh.2
CD0618d,msh.2
CD0619a,msh.2
CD0619c,msh.2
CD0619d,msh.2
CD0620a,msh.2
CD0620c,msh.2
CD0621c,msh.2
CD0622a,msh.2
CD0623a,msh.2
CD0623c,msh.2
CD0624a,msh.2
CD0624c,msh.2
CD0624d,msh.2
CD0625a,msh.2
CD0625c,msh.2
CD0625d,msh.2
CD0626a,msh.2
CD0626c,msh.2
CD0626d,msh.2
CD0627a,msh.2
CD0627c,msh.2
CD0628c,msh.2
CD0628d,msh.2
CD0629a,msh.2
CD0629c,msh.2
CD0629d,msh.2
CD0630a,msh.2
CD0630c,msh.2
CD0630d,msh.2
CD0631a,msh.2
CD0631c,msh.2
CD0631d,msh.2
CD0632a,msh.2
CD0632c,msh.2
CD0633a,msh.2
CD0633d,msh.2
CD0634a,msh.2
CD0634c,msh.2
CD0634d,msh.2
CD0635a,msh.2
CD0635c,msh.2
CD0635d,msh.2
CD0636a,msh.2
CD0636d,msh.2
CD0637a,msh.2
CD0637c,msh.2
CD0638a,msh.2
CD0638c,msh.2
CD0638d,msh.2
CD0639d,msh.2
CD0640c,msh.2
CD0641a,msh.2
CD0641d,msh.2
CD0642a,msh.2
CD0642c,msh.2
CD0642d,msh.2
CD0643a,msh.2
CD0643c,msh.2
CD0644c,msh.2
CD0644d,msh.2
CD0645a,msh.2
CD0646a,msh.2
CD0646c,msh.2
CD0646d,msh.2
CD0647a,msh.2
CD0647c,msh.2
CD0648c,msh.2
CD0649c,msh.2
CD0652a,msh.2
CD0652d,msh.2
CD0653a,msh.2
CD0653c,msh.2
CD0654a,msh.2
CD0654d,msh.2
CD0655a,msh.2
CD0655c,msh.2
CD0655d,msh.2
CD0656a,msh.2
CD0656c,msh.2
CD0657a,msh.2
CD0657d,msh.2
CD0658c,msh.2
CD0658d,msh.2
CD0660a,msh.2
CD0660c,msh.2
CD0660d,msh.2
CD0661a,msh.2
CD0661c,msh.2
CD0661d,msh.2
CD0662a,msh.2
CD0662c,msh.2
CD0662d,msh.2
CD0663a,msh.2
CD0663c,msh.2
CD0663d,msh.2
CD0664a,msh.2
CD0664c,msh.2
CD0664d,msh.2
CD0665a,msh.2
CD0665c,msh.2
CD0665d,msh.2
CD0666a,msh.2
CD0666d,msh.2
CD0667a,msh.2
CD0668b,msh.2
CD0668c,msh.2
CD0668d,msh.2
CD0668e,msh.2
CD0668f,msh.2
CD0668g,msh.2
CD0668h,msh.2
CD0668i,msh.2
CD0668j,msh.2
CD0669b,msh.2
CD0669c,msh.2
CD0669d,msh.2
CD0669e,msh.2
CD0669f,msh.2
CD0669g,msh.2
CD0669h,msh.2
CD0669i,msh.2
CD0669j,msh.2
CD0670b,msh.2
CD0670d,msh.2
CD0670e,msh.2
CD0670f,msh.2
CD0670h,msh.2
CD0670i,msh.2
CD0670j,msh.2
CD0671c,msh.2
CD0671f,msh.2
CD0671g,msh.2
CD0671h,msh.2
CD0671i,msh.2
CD0671j,msh.2
CD0673b,msh.2
CD0673c,msh.2
CD0673d,msh.2
CD0673e,msh.2
CD0674b,msh.2
CD0674c,msh.2
CD0674f,msh.2
CD0674g,msh.2
CD0674h,msh.2
CD0675b,msh.2
CD0675d,msh.2
CD0675e,msh.2
CD0675f,msh.2
CD0675g,msh.2
CD0675h,msh.2
CD0675j,msh.2
CD0675k,msh.2
CD0675l,msh.2
CD0675n,msh.2
CD0675o,msh.2
CD0675p,msh.2
CD0675r,msh.2
CD0677e,msh.2
CD0677f,msh.2
CD0677g,msh.2
CD0677h,msh.2
CD0677j,msh.2
CD0677m,msh.2
CD0678b,msh.2
CD0678c,msh.2
CD0678d,msh.2
CD0678e,msh.2
CD0678f,msh.2
CD0678g,msh.2
CD0678i,msh.2
CD0678k,msh.2
CD0678m,msh.2
CD0678n,msh.2
CD0678p,msh.2
CD0678q,msh.2
CD0678r,msh.2
CD0679b,msh.2
CD0679c,msh.2
CD0679d,msh.2
CD0679e,msh.2
CD0679f,msh.2
CD0679g,msh.2
CD0679h,msh.2
CD0679i,msh.2
CD0679j,msh.2
CD0679k,msh.2
CD0679l,msh.2
CD0679m,msh.2
CD0680b,msh.2
CD0680c,msh.2
CD0680e,msh.2
CD0680f,msh.2
CD0680g,msh.2
CD0680h,msh.2
CD0680i,msh.2
CD0680k,msh.2
CD0680l,msh.2
CD0681b,msh.2
CD0681c,msh.2
CD0681d,msh.2
CD0681f,msh.2
CD0681g,msh.2
CD0681i,msh.2
CD0681j,msh.2
CD0681k,msh.2
CD0681l,msh.2
CD0681m,msh.2
CD0682b,msh.2
CD0682d,msh.2
CD0682e,msh.2
CD0682g,msh.2
CD0682h,msh.2
CD0682i,msh.2
CD0682j,msh.2
CD0682k,msh.2
CD0682m,msh.2
CD0682n,msh.2
CD0683b,msh.2
CD0683c,msh.2
CD0683d,msh.2
CD0684b,msh.2
CD0684c,msh.2
CD0685b,msh.2
CD0685c,msh.2
CD0685d,msh.2
CD0686b,msh.2
CD0686c,msh.2
CD0686d,msh.2
CD0687b,msh.2
CD0688b,msh.2
CD0688c,msh.2
CD0688d,msh.2
CD0688e,msh.2
CD0688f,msh.2
CD0695b,msh.2
CD0695c,msh.2
CD0696b,msh.2
CD0696c,msh.2
CD0696d,msh.2
CD0696e,msh.2
CD0697b,msh.2
CD0697c,msh.2
CD0698b,msh.2
CD0698c,msh.2
CD0698e,msh.2
CD0698f,msh.2
CD0699b,msh.2
CD0700c,msh.6
CD0701b,msh.6
CD0701c,msh.6
CD0702b,msh.6
CD0702c,msh.6
CD0702d,msh.6
CD0703b,msh.6
CD0703c,msh.6
CD0703d,msh.6
CD0704b,msh.6
CD0704c,msh.6
CD0704d,msh.6
CD0705b,msh.6
CD0705c,msh.6
CD0705d,msh.6
CD0709b,msh.6
CD0709c,msh.6
CD0710b,msh.6
CD0710c,msh.6
CD0710d,msh.6
CD0710e,msh.6
CD0711b,msh.6
CD0711c,msh.6
CD0712b,msh.6
CD0712d,msh.6
CD0712e,msh.6
CD0713b,msh.6
CD0713c,msh.6
CD0713d,msh.6
CD0714b,msh.6
CD0714c,msh.6
CD0714d,msh.6
CD0717c,msh.6
CD0718b,msh.6
CD0718c,msh.6
CD0719b,msh.6
CD0720b,msh.6
CD0720c,msh.6
CD0720d,msh.6
CD0721b,msh.6
CD0721d,msh.6
CD0722b,msh.6
CD0722c,msh.6
CD0722d,msh.6
CD0724b,msh.6
CD0724c,msh.6
CD0724e,msh.6
CD0724f,msh.6
CD0725c,msh.6
CD0727b,msh.6
CD0727c,msh.6
CD0728c,msh.6
CD0728d,msh.6
CD0729b,msh.6
CD0729d,msh.6
CD0730b,msh.6
CD0730c,msh.6
CD0730d,msh.6
CD0732b,msh.6
CD0732c,msh.6
CD0732d,msh.6
CD0733b,msh.6
CD0733c,msh.6
CD0733d,msh.6
CD0734b,msh.6
CD0735b,msh.6
CD0735c,msh.6
CD0736b,msh.6
CD0736c,msh.6
CD0736d,msh.6
CD0737b,msh.6
CD0738c,msh.6
CD0739c,msh.6
CD0739d,msh.6
CD0740b,msh.6
CD0740d,msh.6
CD0741d,msh.6
CD0742b,msh.6
CD0743b,msh.6
CD0743c,msh.6
CD0743d,msh.6
CD0743e,msh.6
CD0744c,msh.6
CD0745b,msh.6
CD0745c,msh.6
CD0745d,msh.6
CD0746b,msh.6
CD0746c,msh.6
CD0746d,msh.6
CD0747b,msh.6
CD0747c,msh.6
CD0747d,msh.6
CD0748b,msh.6
CD0748c,msh.6
CD0748f,msh.6
CD0748h,msh.6
CD0748i,msh.6
CD0748j,msh.6
CD0749b,msh.6
CD0752b,msh.6
CD0752c,msh.6
CD0753b,msh.6
CD0753c,msh.6
CD0753d,msh.6
CD0754b,msh.6
CD0754c,msh.6
CD0754d,msh.6
CD0756b,msh.6
CD0756c,msh.6
CD0756d,msh.6
CD0756e,msh.6
CD0756f,msh.6
CD0756g,msh.6
CD0757d,msh.6
CD0758b,msh.6
CD0758c,msh.6
CD0759b,msh.6
CD0759c,msh.6
CD0759d,msh.6
CD0760b,msh.6
CD0761b,msh.6
CD0761c,msh.6
CD0761d,msh.6
CD0761f,msh.6
CD0761g,msh.6
CD0762b,msh.6
CD0762d,msh.6
CD0763b,msh.6
CD0763c,msh.6
CD0763d,msh.6
CD0764b,msh.6
CD0764c,msh.6
CD0764d,msh.6
CD0766b,msh.6
CD0766c,msh.6
CD0766d,msh.6
CD0766e,msh.6
CD0766f,msh.6
CD0766g,msh.6
CD0767c,msh.6
CD0767d,msh.6
CD0768b,msh.6
CD0768c,msh.6
CD0768d,msh.6
CD0769b,msh.6
CD0769c,msh.6
CD0771b,msh.6
CD0771d,msh.6
CD0771e,msh.6
CD0771f,msh.6
CD0774b,msh.6
CD0775b,msh.6
CD0775c,msh.6
CD0775d,msh.6
CD0777b,msh.6
CD0777c,msh.6
CD0777d,msh.6
CD0781b,msh.6
CD0781c,msh.6
CD0781d,msh.6
CD0787d,msh.6
CD0790b,msh.6
CD0791c,msh.6
CD0792b,msh.6
CD0792c,msh.6
CD0792d,msh.6
CD0793b,msh.6
CD0793c,msh.6
CD0793d,msh.6
CD0794b,msh.6
CD0794c,msh.6
CD0794d,msh.6
CD0795c,msh.6
CD0795d,msh.6
CD0796b,msh.6
CD0796c,msh.6
CD0797b,msh.6
CD0797c,msh.6
CD0798b,msh.6
CD0798d,msh.6
CD0799b,msh.6
CD0799c,msh.6
CD0800b,msh.6
CD0800c,msh.6
CD0800d,msh.6
CD0801b,msh.6
CD0801c,msh.6
CD0801d,msh.6
CD0802c,msh.6
CD0802d,msh.6
CD0803b,msh.6
CD0803c,msh.6
CD0803d,msh.6
CD0804c,msh.6
CD0804d,msh.6
CD0804e,msh.6
CD0805b,msh.6
CD0805c,msh.6
CD0806b,msh.6
CD0806c,msh.6
CD0806d,msh.6
CD0809d,msh.6
CD0810b,msh.6
CD0810c,msh.6
CD0810d,msh.6
CD0811b,msh.6
CD0811c,msh.6
CD0812b,msh.6
CD0812c,msh.6
CD0812d,msh.6
CD0813b,msh.6
CD0813c,msh.6
CD0813d,msh.6
CD0814b,msh.6
CD0814c,msh.6
CD0815b,msh.6
CD0815c,msh.6
CD0815d,msh.6
CD0815e,msh.6
CD0816b,msh.6
CD0816d,msh.6
CD0817b,msh.6
CD0817c,msh.6
CD0817d,msh.6
CD0818b,msh.6
CD0818c,msh.6
CD0818d,msh.6
CD0819c,msh.6
CD0819d,msh.6
CD0820c,msh.6
CD0820d,msh.6
CD0821b,msh.6
CD0821c,msh.6
CD0822b,msh.6
CD0822c,msh.6
CD0822d,msh.6
CD0823b,msh.6
CD0823c,msh.6
CD0823d,msh.6
CD0824b,msh.6
CD0824c,msh.6
CD0824d,msh.6
CD0825b,msh.6
CD0825c,msh.6
CD0825d,msh.6
CD0826b,msh.6
CD0826c,msh.6
CD0826d,msh.6
CD0827b,msh.6
CD0827c,msh.6
CD0827d,msh.6
CD0828b,msh.6
CD0828c,msh.6
CD0828d,msh.6
CD0829b,msh.6
CD0829c,msh.6
CD0830b,msh.6
CD0830c,msh.6
CD0830d,msh.6
CD0831b,msh.6
CD0831c,msh.6
CD0831d,msh.6
CD0832d,msh.6
CD0834b,msh.6
CD0834c,msh.6
CD0834d,msh.6
CD0837b,msh.6
CD0837c,msh.6
CD0841b,msh.6
CD0842b,msh.6
CD0842c,msh.6
CD0842d,msh.6
CD0844b,msh.6
CD0845b,msh.6
CD0846b,msh.6
CD0846d,msh.6
CD0847b,msh.6
CD0847c,msh.6
CD0847d,msh.6
CD0848b,msh.6
CD0848c,msh.6
CD0848d,msh.6
CD0850d,msh.6
CD0850e,msh.6
CD0850f,msh.6
CD0850g,msh.6
CD0850h,msh.6
CD0850i,msh.6
CD0850j,msh.6
CD0851c,msh.6
CD0851d,msh.6
CD0851e,msh.6
CD0851f,msh.6
CD0851g,msh.6
CD0851h,msh.6
CD0851i,msh.6
CD0852b,msh.6
CD0852c,msh.6
CD0852d,msh.6
CD0852e,msh.6
CD0852f,msh.6
CD0852g,msh.6
CD0852h,msh.6
CD0852i,msh.6
CD0853b,msh.6
CD0853c,msh.6
CD0853d,msh.6
CD0853e,msh.6
CD0853f,msh.6
CD0853g,msh.6
CD0853h,msh.6
CD0853i,msh.6
CD0853j,msh.6
CD0854b,msh.6
CD0854c,msh.6
CD0854e,msh.6
CD0854f,msh.6
CD0854g,msh.6
CD0854h,msh.6
CD0854i,msh.6
CD0854j,msh.6
CD0855b,msh.6
CD0855c,msh.6
CD0855d,msh.6
CD0855e,msh.6
CD0855f,msh.6
CD0855g,msh.6
CD0855h,msh.6
CD0855i,msh.6
CD0855j,msh.6
CD0856b,msh.6
CD0856c,msh.6
CD0856d,msh.6
CD0856e,msh.6
CD0856f,msh.6
CD0856g,msh.6
CD0856h,msh.6
CD0856i,msh.6
CD0856j,msh.6
CD0857b,msh.6
CD0857d,msh.6
CD0857e,msh.6
CD0857f,msh.6
CD0857g,msh.6
CD0857h,msh.6
CD0857i,msh.6
CD0857j,msh.6
CD0858c,msh.6
CD0858e,msh.6
CD0858f,msh.6
CD0858g,msh.6
CD0858h,msh.6
CD0858i,msh.6
CD0858j,msh.6
CD0859b,msh.6
CD0859c,msh.6
CD0859d,msh.6
CD0860b,msh.6
CD0860c,msh.6
CD0860d,msh.6
CD0861b,msh.6
CD0861c,msh.6
CD0861d,msh.6
CD0862b,msh.6
CD0862c,msh.6
CD0862d,msh.6
CD0863c,msh.6
CD0864b,msh.6
CD0864d,msh.6
CD0865b,msh.6
CD0866b,msh.6
CD0866c,msh.6
CD0866d,msh.6
CD0867c,msh.6
CD0868b,msh.6
CD0868c,msh.6
CD0868d,msh.6
CD0869c,msh.6
CD0869d,msh.6
CD0870b,msh.6
CD0871c,msh.6
CD0871d,msh.6
CD0872b,msh.6
CD0872d,msh.6
CD0873b,msh.6
CD0873c,msh.6
CD0873d,msh.6
CD0874b,msh.6
CD0874c,msh.6
CD0874d,msh.6
CD0875b,msh.6
CD0882b,msh.6
CD0883b,msh.6
CD0883c,msh.6
CD0884c,msh.6
CD0884d,msh.6
CD0885b,msh.6
CD0885c,msh.6
CD0885d,msh.6
CD0886b,msh.6
CD0886c,msh.6
CD0886d,msh.6
CD0887b,msh.6
CD0887c,msh.6
CD0887d,msh.6
CD0888b,msh.6
CD0888c,msh.6
CD0888d,msh.6
CD0889b,msh.6
CD0889c,msh.6
CD0889d,msh.6
CD0890c,msh.6
CD0891b,msh.6
CD0891c,msh.6
CD0891d,msh.6
CD0892b,msh.6
CD0893b,msh.6
CD0893c,msh.6
CD0893d,msh.6
CD0894b,msh.6
CD0894c,msh.6
CD0898d,msh.6
CD0899b,msh.6
CD0900b,pms.2
CD0900d,pms.2
CD0902b,pms.2
CD0902d,pms.2
CD0905b,pms.2
CD0905c,pms.2
CD0905d,pms.2
CD0906b,pms.2
CD0906c,pms.2
CD0906d,pms.2
CD0907b,pms.2
CD0907c,pms.2
CD0907d,pms.2
CD0908b,pms.2
CD0908c,pms.2
CD0908d,pms.2
CD0909c,pms.2
CD0909d,pms.2
CD0910b,pms.2
CD0910c,pms.2
CD0910d,pms.2
CD0911b,pms.2
CD0911c,pms.2
CD0911d,pms.2
CD0918b,pms.2
CD0918c,pms.2
CD0919b,pms.2
CD0919c,pms.2
CD0919d,pms.2
CD0920b,pms.2
CD0920c,pms.2
CD0920d,pms.2
CD0924b,pms.2
CD0925b,pms.2
CD0925c,pms.2
CD0925d,pms.2
CD0926b,pms.2
CD0926c,pms.2
CD0926d,pms.2
CD0935b,pms.2
CD0935c,pms.2
CD0935d,pms.2
CD0939b,pms.2
CD0939c,pms.2
CD0939d,pms.2
CD0940b,pms.2
CD0940c,pms.2
CD0940d,pms.2
CD0941c,pms.2
CD0941d,pms.2
CD0942c,pms.2
CD0943b,pms.2
CD0943c,pms.2
CD0943d,pms.2
CD0944b,pms.2
CD0944c,pms.2
CD0944d,pms.2
CD0945b,pms.2
CD0945d,pms.2
CD0946c,pms.2
CD0946d,pms.2
CD0947b,pms.2
CD0948b,pms.2
CD0948c,pms.2
CD0948d,pms.2
CD0949b,pms.2
CD0949c,pms.2
CD0949d,pms.2
CD0950b,pms.2
CD0950c,pms.2
CD0950d,pms.2
CD0951b,pms.2
CD0951c,pms.2
CD0951d,pms.2
CD0952b,pms.2
CD0952c,pms.2
CD0953b,pms.2
CD0953c,pms.2
CD0953d,pms.2
CD0954b,pms.2
CD0954c,pms.2
CD0954d,pms.2
CD0955b,pms.2
CD0955c,pms.2
CD0955d,pms.2
CD0956b,pms.2
CD0956c,pms.2
CD0956d,pms.2
CD0957b,pms.2
CD0957c,pms.2
CD0957d,pms.2
CD0958b,pms.2
CD0958c,pms.2
CD0958d,pms.2
CD0959c,pms.2
CD0959d,pms.2
CD0960b,pms.2
CD0960c,pms.2
CD0960d,pms.2
CD0961c,pms.2
CD0961d,pms.2
CD0962b,pms.2
CD0962c,pms.2
CD0962d,pms.2
CD0963b,pms.2
CD0963c,pms.2
CD0964b,pms.2
CD0964c,pms.2
CD0965b,pms.2
CD0965c,pms.2
CD0967b,pms.2
CD0967c,pms.2
CD0967d,pms.2
CD0968b,pms.2
CD0968c,pms.2
CD0968d,pms.2
CD0969c,pms.2
CD0969d,pms.2
CD0970b,pms.2
CD0970c,pms.2
CD0970d,pms.2
CD0971b,pms.2
CD0971c,pms.2
CD0971d,pms.2
CD0972b,pms.2
CD0972c,pms.2
CD0973b,pms.2
CD0973c,pms.2
CD0973d,pms.2
CD0974b,pms.2
CD0974c,pms.2
CD0974d,pms.2
CD0975b,pms.2
CD0975c,pms.2
CD0975d,pms.2
CD0976b,pms.2
CD0976c,pms.2
CD0976d,pms.2
CD0977b,pms.2
CD0977c,pms.2
CD0977d,pms.2
CD0978b,pms.2
CD0978c,pms.2
CD0978d,pms.2
CD0979b,pms.2
CD0979c,pms.2
CD0979d,pms.2
CD0980b,pms.2
CD0981b,pms.2
CD0981c,pms.2
CD0981d,pms.2
CD0982b,pms.2
CD0982c,pms.2
CD0982d,pms.2
CD0983b,pms.2
CD0983c,pms.2
CD0983d,pms.2
CD0984b,pms.2
CD0984c,pms.2
CD0984d,pms.2
CD0985b,pms.2
CD0985c,pms.2
CD0985d,pms.2
CD0986b,pms.2
CD0986c,pms.2
CD0986d,pms.2
CD0987c,pms.2
CD0987d,pms.2
CD0988b,pms.2
CD0988c,pms.2
CD0988d,pms.2
CD0989b,pms.2
CD0989c,pms.2
CD0989d,pms.2
CD0990b,pms.2
CD0990c,pms.2
CD0990d,pms.2
CD0991b,pms.2
CD0991c,pms.2
CD0991d,pms.2
CD0992b,pms.2
CD0992c,pms.2
CD0992d,pms.2
CD0993c,pms.2
CD0994b,pms.2
CD0994c,pms.2
CD0995b,pms.2
CD0996b,pms.2
CD0996c,pms.2
CD0996d,pms.2
CD0997b,pms.2
CD0997c,pms.2
CD0997d,pms.2
CD0998b,pms.2
CD0998c,pms.2
CD0998d,pms.2
CD1000c,other.genotype
CD1000d,other.genotype
CD1001c,other.genotype
CD1001d,other.genotype
CD1002b,other.genotype
CD1002c,other.genotype
CD1002d,other.genotype
CD1021b,other.genotype
CD1021c,other.genotype
CD1021d,other.genotype
CD1022c,other.genotype
CD1022d,other.genotype
CD1023b,other.genotype
CD1023c,other.genotype
CD1023d,other.genotype
CD1027b,other.genotype
CD1027d,other.genotype
CD1028b,other.genotype
CD1029b,other.genotype
CD1031b,other.genotype
CD1031d,other.genotype
CD1032b,other.genotype
CD1032c,other.genotype
CD1033b,other.genotype
CD1033c,other.genotype
CD1033d,other.genotype
CD1034b,other.genotype
CD1034c,other.genotype
CD1034d,other.genotype
CD1035b,other.genotype
CD1035c,other.genotype
CD1035d,other.genotype
CD1036b,other.genotype
CD1036c,other.genotype
CD1036d,other.genotype
CD1037b,other.genotype
CD1037c,other.genotype
CD1037d,other.genotype
CD1038b,other.genotype
CD1038c,other.genotype
CD1038d,other.genotype
CD1039b,other.genotype
CD1039c,other.genotype
CD1039d,other.genotype
CD1060b,other.genotype
CD1060c,other.genotype
CD1061b,other.genotype
CD1061c,other.genotype
CD1061d,other.genotype
CD1062b,other.genotype
CD1062c,other.genotype
CD1062d,other.genotype
CD1076c,other.genotype
CD1076d,other.genotype
CD1077b,other.genotype
CD1077c,other.genotype
CD1077d,other.genotype
CD1078b,other.genotype
CD1078c,other.genotype
CD1078d,other.genotype
CD1079b,other.genotype
CD1080b,other.genotype
CD1081b,other.genotype
CD1082b,other.genotype
CD1083b,other.genotype
CD1084b,other.genotype
